DATE,DAY,MONTH,YEAR,COMPANY,LINE_ID,TICKETS
2020-01-16,16,1,2020,25 DE MAYO,573,17026
2020-01-16,16,1,2020,25 DE MAYO,581,9668
2020-01-16,16,1,2020,25 DE MAYO,591,9431
2020-01-16,16,1,2020,25 DE MAYO,593,6453
2020-01-16,16,1,2020,BATAN,715,9322
2020-01-16,16,1,2020,PERALTA RAMOS,717,6032
2020-01-17,17,1,2020,25 DE MAYO,501,1020
2020-01-17,17,1,2020,PERALTA RAMOS,511,39731
2020-01-17,17,1,2020,PERALTA RAMOS,512,7754
2020-01-17,17,1,2020,25 DE MAYO,521,9965
2020-01-17,17,1,2020,25 DE MAYO,522,15434
2020-01-17,17,1,2020,25 DE MAYO,523,18546
2020-01-17,17,1,2020,25 DE MAYO,525,2820
2020-01-17,17,1,2020,12 DE OCTUBRE,531,9719
2020-01-17,17,1,2020,12 DE OCTUBRE,532,16353
2020-01-17,17,1,2020,12 DE OCTUBRE,533,5565
2020-01-17,17,1,2020,25 DE MAYO,541,10418
2020-01-17,17,1,2020,25 DE MAYO,542,17057
2020-01-17,17,1,2020,25 DE MAYO,551,23316
2020-01-17,17,1,2020,25 DE MAYO,552,15388
2020-01-17,17,1,2020,25 DE MAYO,553,6296
2020-01-17,17,1,2020,25 DE MAYO,554,9522
2020-01-17,17,1,2020,25 DE MAYO,555,11711
2020-01-17,17,1,2020,EL LIBERTADOR,562,20252
2020-01-17,17,1,2020,EL LIBERTADOR,563,13384
2020-01-17,17,1,2020,25 DE MAYO,571,18882
2020-01-17,17,1,2020,25 DE MAYO,573,21556
2020-01-17,17,1,2020,25 DE MAYO,581,11467
2020-01-17,17,1,2020,25 DE MAYO,591,10673
2020-01-17,17,1,2020,25 DE MAYO,593,6412
2020-01-17,17,1,2020,BATAN,715,9898
2020-01-17,17,1,2020,PERALTA RAMOS,717,6123
2020-01-18,18,1,2020,25 DE MAYO,501,934
2020-01-18,18,1,2020,PERALTA RAMOS,511,35450
2020-01-18,18,1,2020,PERALTA RAMOS,512,4658
2020-01-18,18,1,2020,25 DE MAYO,521,8202
2020-01-18,18,1,2020,25 DE MAYO,522,11310
2020-01-18,18,1,2020,25 DE MAYO,523,17790
2020-01-18,18,1,2020,25 DE MAYO,525,1444
2020-01-18,18,1,2020,12 DE OCTUBRE,531,6960
2020-01-18,18,1,2020,12 DE OCTUBRE,532,13765
2020-01-18,18,1,2020,12 DE OCTUBRE,533,3994
2020-01-18,18,1,2020,25 DE MAYO,541,8262
2020-01-18,18,1,2020,25 DE MAYO,542,12125
2020-01-18,18,1,2020,25 DE MAYO,551,18287
2020-01-18,18,1,2020,25 DE MAYO,552,11877
2020-01-18,18,1,2020,25 DE MAYO,553,4908
2020-01-18,18,1,2020,25 DE MAYO,554,7397
2020-01-18,18,1,2020,25 DE MAYO,555,8610
2020-01-18,18,1,2020,EL LIBERTADOR,562,14509
2020-01-18,18,1,2020,EL LIBERTADOR,563,8953
2020-01-18,18,1,2020,25 DE MAYO,571,16350
2020-01-18,18,1,2020,25 DE MAYO,573,15800
2020-01-18,18,1,2020,25 DE MAYO,581,12316
2020-01-18,18,1,2020,25 DE MAYO,591,5918
2020-01-18,18,1,2020,25 DE MAYO,593,4752
2020-01-18,18,1,2020,BATAN,715,6673
2020-01-18,18,1,2020,PERALTA RAMOS,717,5389
2020-01-19,19,1,2020,25 DE MAYO,501,630
2020-01-19,19,1,2020,PERALTA RAMOS,511,27802
2020-01-19,19,1,2020,PERALTA RAMOS,512,3717
2020-01-19,19,1,2020,25 DE MAYO,521,4434
2020-01-19,19,1,2020,25 DE MAYO,522,10716
2020-01-19,19,1,2020,25 DE MAYO,523,13554
2020-01-19,19,1,2020,25 DE MAYO,525,1220
2020-01-19,19,1,2020,12 DE OCTUBRE,531,6939
2020-01-19,19,1,2020,12 DE OCTUBRE,532,8493
