DAY_OF_WEEK,LINE_ID,WORKDAY,LAG_7,DIFF_14,YEAR,DAY_OF_WEEK_COS,DAY_OF_YEAR_SIN,MONTH_SIN
4,525,1,0,0,2024,-0.9009688679024191,-0.5160623910158526,-0.8660254037844385
5,525,1,0,0,2024,-0.2225209339563146,-0.5307300481619331,-0.8660254037844385
6,525,0,0,0,2024,0.6234898018587334,-0.5452404385406507,-0.8660254037844385
7,525,0,0,0,2024,1.0,-0.5595892624101763,-0.8660254037844385
1,525,1,0,0,2024,0.6234898018587336,-0.5737722679043243,-0.8660254037844385
2,525,1,0,0,2024,-0.22252093395631434,-0.5877852522924734,-0.8660254037844385
3,525,1,0,0,2024,-0.900968867902419,-0.6016240632249227,-0.8660254037844385
4,525,1,0,0,2024,-0.9009688679024191,-0.6152845999633277,-0.8660254037844385
5,525,1,0,0,2024,-0.2225209339563146,-0.6287628145958345,-0.8660254037844385
6,525,0,0,0,2024,0.6234898018587334,-0.6420547132365636,-0.8660254037844385
7,525,0,0,0,2024,1.0,-0.655156357209085,-0.8660254037844385
1,525,1,0,0,2024,0.6234898018587336,-0.6680638642135333,-0.8660254037844385
2,525,1,0,0,2024,-0.22252093395631434,-0.6807734094770159,-0.8660254037844385
3,525,1,0,0,2024,-0.900968867902419,-0.6932812268869771,-0.8660254037844385
4,525,1,0,0,2024,-0.9009688679024191,-0.7055836101071774,-0.8660254037844385
5,525,1,0,0,2024,-0.2225209339563146,-0.7176769136759615,-0.8660254037844385
6,525,0,0,0,2024,0.6234898018587334,-0.7295575540864876,-0.8660254037844385
7,525,0,0,0,2024,1.0,-0.7412220108485957,-0.8660254037844385
1,525,1,0,0,2024,0.6234898018587336,-0.7526668275320083,-0.8660254037844385
2,525,1,0,0,2024,-0.22252093395631434,-0.7638886127905429,-0.8660254037844385
3,525,1,0,0,2024,-0.900968867902419,-0.7748840413670406,-0.8660254037844385
4,525,1,0,0,2024,-0.9009688679024191,-0.7856498550787144,-0.8660254037844385
5,525,1,0,0,2024,-0.2225209339563146,-0.7961828637826154,-0.8660254037844385
6,525,0,0,0,2024,0.6234898018587334,-0.8064799463209447,-0.8660254037844385
7,525,0,0,0,2024,1.0,-0.8165380514459157,-0.8660254037844385
1,525,1,0,0,2024,0.6234898018587336,-0.8263541987239094,-0.8660254037844385
2,525,1,0,0,2024,-0.22252093395631434,-0.8359254794186365,-0.8660254037844385
3,525,1,0,0,2024,-0.900968867902419,-0.8452490573530634,-0.8660254037844385
4,525,1,0,0,2024,-0.9009688679024191,-0.8543221697498269,-0.8660254037844385
5,525,1,0,0,2024,-0.2225209339563146,-0.8631421280499115,-0.8660254037844385
6,525,0,0,0,2024,0.6234898018587334,-0.8717063187093217,-0.8660254037844385
7,525,0,0,0,2024,1.0,-0.8800122039735356,-1.0
1,525,1,0,0,2024,0.6234898018587336,-0.888057322629493,-1.0
2,525,1,0,0,2024,-0.22252093395631434,-0.8958392907349089,-1.0
3,525,1,0,0,2024,-0.900968867902419,-0.9033558023246842,-1.0
4,525,1,0,0,2024,-0.9009688679024191,-0.9106046300942162,-1.0
5,525,1,0,0,2024,-0.2225209339563146,-0.9175836260593934,-1.0
6,525,0,0,0,2024,0.6234898018587334,-0.9242907221930934,-1.0
7,525,0,0,0,2024,1.0,-0.9307239310379793,-1.0
1,525,1,0,0,2024,0.6234898018587336,-0.9368813462954315,-1.0
2,525,1,0,0,2024,-0.22252093395631434,-0.9427611433904206,-1.0
3,525,1,0,0,2024,-0.900968867902419,-0.9483615800121716,-1.0
4,525,1,0,0,2024,-0.9009688679024191,-0.9536809966304455,-1.0
5,525,1,0,0,2024,-0.2225209339563146,-0.9587178169872964,-1.0
6,525,0,0,0,2024,0.6234898018587334,-0.9634705485641486,-1.0
7,525,0,0,0,2024,1.0,-0.9679377830240642,-1.0
